date,zone_id,VV_mean,VH_mean
2026-03-26,zone_02,-9.7552,-18.1966
2026-03-26,zone_03,-9.6391,-18.3029
2026-03-26,zone_04,-9.1471,-15.055
2026-03-26,zone_05,-12.9766,-21.7247
2026-03-26,zone_06,-11.3245,-19.2238
2026-03-26,zone_07,-13.7372,-22.4482
2026-03-26,zone_08,-9.3917,-16.8423
2026-03-26,zone_09,-12.2545,-20.8642
2026-03-26,zone_10,-11.5237,-19.5511
2026-03-26,zone_11,-12.8255,-21.0267
2026-03-26,zone_12,-11.5699,-20.9116
2026-03-26,zone_13,-11.3842,-20.781
2026-03-26,zone_14,-11.7378,-20.1603
2026-03-26,zone_15,-13.2159,-21.8905
2026-03-26,zone_16,-14.2077,-21.9535
2026-04-07,zone_01,-9.2213,-17.3627
2026-04-07,zone_02,-10.1461,-18.5719
2026-04-07,zone_03,-9.5229,-18.5339
2026-04-07,zone_04,-9.3838,-15.5867
2026-04-07,zone_05,-13.199,-22.4777
2026-04-07,zone_06,-11.316,-19.9748
2026-04-07,zone_07,-13.4824,-23.2282
2026-04-07,zone_08,-9.7666,-17.41
2026-04-07,zone_09,-12.106,-21.6006
2026-04-07,zone_10,-11.6713,-20.5048
2026-04-07,zone_11,-12.8014,-22.2181
2026-04-07,zone_12,-11.9253,-22.3557
2026-04-07,zone_13,-11.3279,-20.9353
2026-04-07,zone_14,-11.4398,-20.7305
2026-04-07,zone_15,-13.2566,-22.4779
2026-04-07,zone_16,-14.0692,-22.6754
2026-04-19,zone_01,-9.1679,-17.3344
2026-04-19,zone_02,-9.8777,-18.2657
2026-04-19,zone_03,-9.8047,-18.6661
2026-04-19,zone_04,-9.1311,-15.1183
2026-04-19,zone_05,-12.8441,-21.6077
2026-04-19,zone_06,-11.1539,-19.1836
2026-04-19,zone_07,-13.1158,-22.3499
2026-04-19,zone_08,-9.4471,-17.004
2026-04-19,zone_09,-12.0492,-21.2589
2026-04-19,zone_10,-11.6648,-19.7876
2026-04-19,zone_11,-12.8517,-21.3635
2026-04-19,zone_12,-11.9443,-21.3838
2026-04-19,zone_13,-11.649,-20.9552
2026-04-19,zone_14,-11.8062,-20.5506
2026-04-19,zone_15,-13.3976,-22.06
2026-04-19,zone_16,-14.2265,-22.4166
2026-05-01,zone_01,-9.142,-17.6258
2026-05-01,zone_02,-9.6556,-18.3369
2026-05-01,zone_03,-9.8046,-18.7427
